N,D,m,a,e
35,26,26,6,0
17,22,0,0,2
6,15,1,2,0
44,40,3,10,23
10,27,5,4,1
10,3,2,6,0
39,38,8,11,0
31,32,6,16,2
18,34,2,0,2
45,9,25,10,5
41,43,25,4,8
40,22,7,0,3
32,25,9,5,7
43,35,13,11,1
34,9,30,0,1
27,25,10,10,7
20,42,2,1,13
41,28,3,21,14
10,4,0,4,4
36,12,0,14,13
9,4,0,0,1
14,14,6,1,1
33,32,2,11,17
34,5,9,2,18
4,18,0,0,2
36,23,11,18,1
29,13,8,1,18
6,2,4,0,0
10,8,2,2,2
8,36,0,7,0
45,34,8,5,22
31,17,1,1,6
17,39,0,7,9
18,23,9,2,5
8,9,0,2,3
9,18,4,0,3
33,13,11,6,11
40,32,1,13,18
40,32,1,13,18
40,32,1,13,18
28,33,12,6,3
43,30,29,3,0
40,32,1,13,18
28,33,12,6,3
43,30,29,3,0
36,42,7,5,13
21,3,7,9,4
38,37,0,22,8
22,26,0,5,7
6,42,0,3,1
5,31,3,0,0
11,2,4,3,1
19,5,2,7,10
37,18,5,10,2
34,19,5,1,19
45,11,6,9,1
12,31,1,4,4
1,20,1,0,0
4,46,0,2,1
25,12,8,8,4
6,8,0,0,1
1,21,0,0,1
6,14,0,5,1
45,48,5,7,33
11,18,2,1,3
26,39,13,7,6
9,21,3,0,4
27,43,4,2,4
3,19,0,0,1
11,42,4,0,2
4,2,1,2,0
15,17,6,1,4
36,37,2,25,4
33,12,7,16,4
14,13,7,2,4
11,49,0,5,0
42,29,18,13,0
34,20,9,11,12
22,10,12,4,4
39,32,9,13,14
21,23,8,0,4
1,3,0,0,0
13,44,1,3,2
40,10,8,11,11
35,32,6,5,18
23,1,0,0,6
20,9,4,8,2
48,41,17,13,4
31,1,15,7,2
36,8,1,14,17
37,3,1,22,11
15,30,4,8,1
9,7,2,1,0
4,25,0,0,0
2,3,1,0,1
16,33,6,10,0
44,49,31,7,1
43,8,26,14,1
41,30,7,10,14
45,46,36,3,3
22,22,2,15,5
4,35,0,0,2
26,47,10,9,1
3,19,1,2,0
9,28,6,1,2
46,41,5,14,17
31,43,6,9,1
11,10,4,5,2
35,24,2,14,7
36,3,25,6,3
32,48,11,1,0
9,48,1,8,0
12,30,0,5,6
37,18,0,1,7
40,44,15,21,2
12,32,2,5,3
8,26,1,4,2
11,34,9,1,0
30,16,1,9,2
41,48,21,4,8
41,42,17,12,9
14,29,2,6,2
46,30,6,10,30
8,8,2,0,2
22,40,3,0,19
42,4,3,4,21
6,27,0,5,1
2,9,1,1,0
19,13,12,1,5
15,2,2,4,0
23,31,8,3,4
4,22,2,1,1
50,1,6,17,0
40,40,11,4,2
29,36,9,7,3
41,18,16,11,11
27,28,14,2,0
49,2,14,19,0
2,33,0,1,0
2,46,1,0,0
49,6,33,13,1
39,8,24,6,8
49,49,6,32,9
20,26,5,0,7
11,35,3,5,3
43,19,2,17,12
19,39,4,5,7
21,21,4,3,10
20,29,1,2,10
3,33,0,0,3
48,8,11,29,4
46,15,13,14,2
8,24,3,4,0
50,34,12,3,23
2,35,0,1,1
2,7,0,0,2
28,45,8,13,1
27,35,18,0,3
23,31,1,1,11
4,8,2,0,2
7,34,4,0,0
31,44,2,1,25
28,5,0,9,9
37,10,19,1,14
22,27,13,0,3
35,8,5,0,22
13,28,0,1,12
1,32,0,0,0
37,30,20,6,8
22,2,0,2,5
25,21,1,0,1
31,26,12,1,10
41,31,26,9,2
24,30,15,3,0
35,27,13,11,8
25,4,0,1,18
5,40,1,0,2
36,28,18,2,2
20,4,0,10,5
40,37,28,3,2
17,17,7,3,1
12,10,0,9,1
15,7,6,9,0
25,27,4,1,1
33,40,1,17,2
11,19,1,4,2
13,33,9,0,2
27,47,6,10,6
14,5,1,2,2
18,5,14,0,3
32,30,3,11,18
15,4,1,4,3
11,16,1,0,2
25,26,12,4,3
20,21,2,12,0
35,48,5,5,19
11,17,0,1,4
23,14,2,13,1
22,10,6,4,10
45,49,12,7,8
39,22,4,20,13
15,33,1,4,7
32,25,2,24,4
1,38,0,0,1
35,25,6,22,1
46,23,10,16,14
10,7,1,2,2
43,43,8,2,7
1,24,1,0,0
12,43,3,0,4
2,1,1,0,0
18,34,1,13,0
17,26,8,7,1
43,44,1,14,21
21,48,3,6,2
43,45,4,9,18
15,19,5,2,5
18,10,3,8,5
32,35,7,3,7
9,8,4,0,1
42,48,12,13,0
9,22,1,1,1
40,28,4,19,17
8,43,1,1,1
9,50,1,0,7
33,21,9,1,2
50,16,12,7,11
7,24,1,4,0
10,27,2,6,1
22,40,7,9,2
18,48,18,0,0
30,10,2,9,1
50,48,13,32,0
17,4,2,1,4
3,41,1,2,0
41,42,0,6,17
38,48,14,15,3
1,49,0,0,1
12,18,11,0,1
49,10,17,10,22
3,9,2,1,0
3,47,0,0,2
30,48,5,2,1
35,47,15,8,6
40,17,24,11,5
3,46,0,0,2
13,49,3,4,0
27,16,3,14,3
36,31,5,2,2
47,36,25,9,0
24,14,4,18,2
6,41,3,2,1
44,23,6,3,31
29,14,12,5,9
19,26,3,5,2
39,3,5,12,0
42,45,14,26,0
14,24,4,1,0
36,43,11,14,5
9,42,0,5,0
6,16,0,4,1
9,17,1,0,5
12,8,3,7,2
18,27,1,7,6
33,9,18,0,14
21,33,13,1,5
11,7,7,2,1
37,41,6,22,7
33,45,5,0,0
2,3,0,1,1
44,49,8,27,8
4,44,1,0,0
27,48,6,1,18
50,23,7,5,8
32,26,21,5,6
19,36,1,10,6
2,34,0,0,2
4,41,0,2,1
13,14,4,6,1
27,30,5,2,2
11,38,5,4,1
44,10,10,17,1
17,26,7,2,2
3,34,1,0,0
44,9,8,12,16
45,39,3,27,13
21,29,4,5,3
14,20,0,8,0
11,26,0,10,1
38,4,21,2,13
12,37,0,3,4
39,49,18,17,4
20,42,9,1,0
11,28,7,1,3
30,7,3,18,2
37,30,22,2,4
32,5,4,3,3
6,43,3,0,3
16,33,3,0,4
43,46,31,3,9
44,46,13,3,14
10,5,1,2,2
10,34,2,0,5
46,38,14,5,21
18,37,2,9,3
12,32,2,6,1
13,20,4,5,4
11,8,1,2,7
30,36,3,3,22
28,23,11,1,2
47,12,0,31,1
7,22,2,0,5
28,24,4,1,18
8,21,0,3,4
29,6,7,19,2
4,27,0,4,0
23,8,8,3,0
14,47,7,1,1
12,25,5,1,0
10,5,0,9,0
35,11,19,12,4
25,19,18,4,1
33,43,10,1,18
38,10,15,3,18
18,47,10,4,4
24,5,14,0,7
13,23,1,5,0
14,43,7,1,1
16,44,5,1,1
48,34,19,18,11
40,11,26,2,12
46,31,1,13,28
39,25,8,2,28
24,50,4,5,11
38,35,1,15,18
19,4,3,2,8
4,13,0,1,3
